Date,Close/Last,Volume,Open,High,Low
04/28/2025,$549.74,15179000,$555.64,$558.4899,$540.59
04/25/2025,$547.27,17098920,$546.80,$549.86,$536.25
04/24/2025,$533.15,13910010,$518.73,$533.90,$517.50
04/23/2025,$520.27,18173910,$528.525,$535.3376,$516.52
04/22/2025,$500.28,17399410,$491.87,$506.88,$486.36
04/21/2025,$484.66,16165980,$491.325,$493.50,$479.80
04/17/2025,$501.48,14593510,$505.25,$507.30,$498.0133
04/16/2025,$502.31,18735080,$508.51,$513.37,$495.63
04/15/2025,$521.52,15558660,$532.105,$537.94,$517.50
04/14/2025,$531.48,14130930,$556.175,$557.77,$528.28
04/11/2025,$543.57,17642330,$535.505,$547.40,$528.5901
04/10/2025,$546.29,28173490,$575.49,$581.30,$535.30
04/09/2025,$585.77,39216580,$509.265,$587.89,$502.11
04/08/2025,$510.45,28034210,$543.25,$547.43,$502.86
04/07/2025,$516.25,36606140,$485.10,$539.37,$481.90
04/04/2025,$504.73,38589810,$506.62,$518.00,$494.20
04/03/2025,$531.62,34777460,$546.22,$552.5596,$530.30
04/02/2025,$583.93,13470780,$574.91,$592.66,$573.36
04/01/2025,$586.00,12836570,$570.84,$589.91,$570.00
03/31/2025,$576.36,21124680,$563.50,$578.70,$553.30
03/28/2025,$576.74,17602820,$600.31,$601.75,$573.92
