Date,Close/Last,Volume,Open,High,Low
04/28/2025,$163.40,11415620,$165.00,$165.32,$160.50
04/25/2025,$165.10,14654790,$163.93,$165.91,$161.16
04/24/2025,$164.18,18761150,$157.78,$164.55,$157.39
04/23/2025,$157.81,17667930,$159.37,$160.38,$156.00
04/22/2025,$151.40,12668580,$148.00,$152.5996,$147.4401
04/21/2025,$147.86,15170480,$149.99,$150.28,$145.84
04/17/2025,$151.74,27239900,$156.05,$157.50,$151.4469
04/16/2025,$151.67,23806100,$150.60,$153.54,$148.49
04/15/2025,$157.33,14306630,$156.485,$158.25,$156.05
04/14/2025,$155.84,17509450,$158.30,$158.59,$154.03
04/11/2025,$157.08,19632210,$156.00,$158.01,$153.25
04/10/2025,$151.13,24503450,$155.50,$156.00,$146.91
04/09/2025,$158.75,45612520,$140.20,$160.62,$137.90
04/08/2025,$141.37,30479660,$151.98,$152.61,$138.98
04/07/2025,$146.17,46388330,$134.51,$153.75,$134.25
04/04/2025,$146.80,36085140,$150.89,$151.31,$144.84
04/03/2025,$157.38,28370480,$160.06,$161.80,$157.21
04/02/2025,$170.39,10072690,$166.85,$171.75,$166.345
04/01/2025,$168.64,9180009,$166.39,$168.87,$165.06
03/31/2025,$166.00,19408270,$160.36,$166.13,$159.73
03/28/2025,$165.25,16332000,$168.04,$168.63,$164.06
